Utterance	Intents
please stop	l_SAICVADemo_Email, l_SAICVADemo_General
hello	l_SAICVADemo_Email, l_SAICVADemo_General
don't do that	l_SAICVADemo_Email, l_SAICVADemo_General
good morning	l_SAICVADemo_Email, l_SAICVADemo_General
how are you today	l_SAICVADemo_Email, l_SAICVADemo_General
contact support	l_SAICVADemo_Email, l_SAICVADemo_General
abort	l_SAICVADemo_Email, l_SAICVADemo_General
i'm stuck	l_SAICVADemo_Email, l_SAICVADemo_General
help me	l_SAICVADemo_Email, l_SAICVADemo_General
hi	l_SAICVADemo_Email, l_SAICVADemo_General
hello bot	l_SAICVADemo_Email, l_SAICVADemo_General
what can i say	l_SAICVADemo_Email, l_SAICVADemo_General
talk to a human	l_SAICVADemo_Email, l_SAICVADemo_General
goodbye	l_SAICVADemo_Email, l_SAICVADemo_General
move back	l_SAICVADemo_Email, l_SAICVADemo_General
stop	l_SAICVADemo_Email, l_SAICVADemo_General
i would like to cancel	l_SAICVADemo_Email, l_SAICVADemo_General
what can you help me with	l_SAICVADemo_Email, l_SAICVADemo_General
sign out	l_SAICVADemo_Email, l_SAICVADemo_General
undo	l_SAICVADemo_Email, l_SAICVADemo_General
logout	l_SAICVADemo_Email, l_SAICVADemo_General
how are you	l_SAICVADemo_Email, l_SAICVADemo_General
can i talk to a person	l_SAICVADemo_Email, l_SAICVADemo_General
disregard	l_SAICVADemo_Email, l_SAICVADemo_General
go back	l_SAICVADemo_Calendar, l_SAICVADemo_Email, l_SAICVADemo_General
good night	l_SAICVADemo_Email, l_SAICVADemo_General
don't do it	l_SAICVADemo_Email, l_SAICVADemo_General
can you help me	l_SAICVADemo_Email, l_SAICVADemo_General
last	l_SAICVADemo_Email, l_SAICVADemo_General
previous	l_SAICVADemo_Email, l_SAICVADemo_General
hiya	l_SAICVADemo_Email, l_SAICVADemo_General
cancel	l_SAICVADemo_Email, l_SAICVADemo_ToDo
never mind	l_SAICVADemo_Email, l_SAICVADemo_General
exit	l_SAICVADemo_Email, l_SAICVADemo_General
what do i do now	l_SAICVADemo_Email, l_SAICVADemo_General
hey	l_SAICVADemo_Email, l_SAICVADemo_General
good evening	l_SAICVADemo_Email, l_SAICVADemo_General
next	l_SAICVADemo_General, l_SAICVADemo_ToDo
why doesn't this work	l_SAICVADemo_Email, l_SAICVADemo_General
